Source;Target;Type;Label
0;1;Undirected;experimental teaching design and practice on big data course
0;2;Undirected;experimental teaching design and practice on big data course
0;3;Undirected;experimental teaching design and practice on big data course
1;0;Undirected;experimental teaching design and practice on big data course
1;2;Undirected;experimental teaching design and practice on big data course
1;3;Undirected;experimental teaching design and practice on big data course
2;0;Undirected;experimental teaching design and practice on big data course
2;1;Undirected;experimental teaching design and practice on big data course
2;3;Undirected;experimental teaching design and practice on big data course
3;0;Undirected;experimental teaching design and practice on big data course
3;1;Undirected;experimental teaching design and practice on big data course
3;2;Undirected;experimental teaching design and practice on big data course
4;7;Undirected;big data analytics: a cognitive perspectives
5;6;Undirected;a mathematical foundation of big data
6;5;Undirected;a mathematical foundation of big data
7;4;Undirected;big data analytics: a cognitive perspectives
8;9;Undirected;a survey of big data security and privacy preserving
8;10;Undirected;a survey of big data security and privacy preserving
8;11;Undirected;a survey of big data security and privacy preserving
9;8;Undirected;a survey of big data security and privacy preserving
9;10;Undirected;a survey of big data security and privacy preserving
9;11;Undirected;a survey of big data security and privacy preserving
10;8;Undirected;a survey of big data security and privacy preserving
10;9;Undirected;a survey of big data security and privacy preserving
10;11;Undirected;a survey of big data security and privacy preserving
11;8;Undirected;a survey of big data security and privacy preserving
11;9;Undirected;a survey of big data security and privacy preserving
11;10;Undirected;a survey of big data security and privacy preserving
12;13;Undirected;big data validation case study
12;14;Undirected;big data validation case study
13;12;Undirected;big data validation case study
13;14;Undirected;big data validation case study
13;59;Undirected;data quality in big data processing: issues, solutions and open problems
13;60;Undirected;data quality in big data processing: issues, solutions and open problems
13;61;Undirected;data quality in big data processing: issues, solutions and open problems
13;59;Undirected;a survey on quality assurance techniques for big data applications
13;119;Undirected;a survey on quality assurance techniques for big data applications
13;120;Undirected;a survey on quality assurance techniques for big data applications
14;12;Undirected;big data validation case study
14;13;Undirected;big data validation case study
15;16;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
15;17;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
15;18;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
15;19;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
16;15;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
16;17;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
16;18;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
16;19;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
17;15;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
17;16;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
17;18;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
17;19;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
18;15;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
18;16;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
18;17;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
18;19;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
19;15;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
19;16;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
19;17;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
19;18;Undirected;leveraging frontline employees' small data and firm-level big data in frontline management: an absorptive capacity perspective
21;22;Undirected;big data - concepts, architectures and technologies
22;21;Undirected;big data - concepts, architectures and technologies
23;24;Undirected;energy efficient strategy for cloud based big data
24;23;Undirected;energy efficient strategy for cloud based big data
25;26;Undirected;big data application framework and its feasibility analysis in library
25;27;Undirected;big data application framework and its feasibility analysis in library
25;28;Undirected;big data application framework and its feasibility analysis in library
26;25;Undirected;big data application framework and its feasibility analysis in library
26;27;Undirected;big data application framework and its feasibility analysis in library
26;28;Undirected;big data application framework and its feasibility analysis in library
27;25;Undirected;big data application framework and its feasibility analysis in library
27;26;Undirected;big data application framework and its feasibility analysis in library
27;28;Undirected;big data application framework and its feasibility analysis in library
28;25;Undirected;big data application framework and its feasibility analysis in library
28;26;Undirected;big data application framework and its feasibility analysis in library
28;27;Undirected;big data application framework and its feasibility analysis in library
29;30;Undirected;querying big data from a database perspective
29;31;Undirected;querying big data from a database perspective
29;32;Undirected;querying big data from a database perspective
29;33;Undirected;querying big data from a database perspective
29;34;Undirected;querying big data from a database perspective
29;35;Undirected;querying big data from a database perspective
30;29;Undirected;querying big data from a database perspective
30;31;Undirected;querying big data from a database perspective
30;32;Undirected;querying big data from a database perspective
30;33;Undirected;querying big data from a database perspective
30;34;Undirected;querying big data from a database perspective
30;35;Undirected;querying big data from a database perspective
31;29;Undirected;querying big data from a database perspective
31;30;Undirected;querying big data from a database perspective
31;32;Undirected;querying big data from a database perspective
31;33;Undirected;querying big data from a database perspective
31;34;Undirected;querying big data from a database perspective
31;35;Undirected;querying big data from a database perspective
32;29;Undirected;querying big data from a database perspective
32;30;Undirected;querying big data from a database perspective
32;31;Undirected;querying big data from a database perspective
32;33;Undirected;querying big data from a database perspective
32;34;Undirected;querying big data from a database perspective
32;35;Undirected;querying big data from a database perspective
33;29;Undirected;querying big data from a database perspective
33;30;Undirected;querying big data from a database perspective
33;31;Undirected;querying big data from a database perspective
33;32;Undirected;querying big data from a database perspective
33;34;Undirected;querying big data from a database perspective
33;35;Undirected;querying big data from a database perspective
34;29;Undirected;querying big data from a database perspective
34;30;Undirected;querying big data from a database perspective
34;31;Undirected;querying big data from a database perspective
34;32;Undirected;querying big data from a database perspective
34;33;Undirected;querying big data from a database perspective
34;35;Undirected;querying big data from a database perspective
35;29;Undirected;querying big data from a database perspective
35;30;Undirected;querying big data from a database perspective
35;31;Undirected;querying big data from a database perspective
35;32;Undirected;querying big data from a database perspective
35;33;Undirected;querying big data from a database perspective
35;34;Undirected;querying big data from a database perspective
36;37;Undirected;health diagnosis robot based on healthcare big data and fuzzy matching
36;38;Undirected;health diagnosis robot based on healthcare big data and fuzzy matching
37;36;Undirected;health diagnosis robot based on healthcare big data and fuzzy matching
