Source;Target;Type;Label
0;1;Undirected;big data with ten big characteristics
0;2;Undirected;big data with ten big characteristics
0;121;Undirected;big data analytics services for enhancing business intelligence
0;1;Undirected;big data analytics services for enhancing business intelligence
1;0;Undirected;big data with ten big characteristics
1;2;Undirected;big data with ten big characteristics
1;0;Undirected;big data analytics services for enhancing business intelligence
1;121;Undirected;big data analytics services for enhancing business intelligence
2;0;Undirected;big data with ten big characteristics
2;1;Undirected;big data with ten big characteristics
3;4;Undirected;research on application of healthcare data in big data era
3;5;Undirected;research on application of healthcare data in big data era
3;6;Undirected;research on application of healthcare data in big data era
3;5;Undirected;research on visualization and application of medical big data
3;24;Undirected;research on visualization and application of medical big data
3;4;Undirected;research on application of big data in medical industry
3;6;Undirected;research on application of big data in medical industry
4;3;Undirected;research on application of healthcare data in big data era
4;5;Undirected;research on application of healthcare data in big data era
4;6;Undirected;research on application of healthcare data in big data era
4;3;Undirected;research on application of big data in medical industry
4;6;Undirected;research on application of big data in medical industry
5;3;Undirected;research on application of healthcare data in big data era
5;4;Undirected;research on application of healthcare data in big data era
5;6;Undirected;research on application of healthcare data in big data era
5;3;Undirected;research on visualization and application of medical big data
5;24;Undirected;research on visualization and application of medical big data
6;3;Undirected;research on application of healthcare data in big data era
6;4;Undirected;research on application of healthcare data in big data era
6;5;Undirected;research on application of healthcare data in big data era
6;3;Undirected;research on application of big data in medical industry
6;4;Undirected;research on application of big data in medical industry
7;8;Undirected;census big data analytics use: international cross case analysis
7;9;Undirected;census big data analytics use: international cross case analysis
7;10;Undirected;census big data analytics use: international cross case analysis
8;7;Undirected;census big data analytics use: international cross case analysis
8;9;Undirected;census big data analytics use: international cross case analysis
8;10;Undirected;census big data analytics use: international cross case analysis
9;7;Undirected;census big data analytics use: international cross case analysis
9;8;Undirected;census big data analytics use: international cross case analysis
9;10;Undirected;census big data analytics use: international cross case analysis
10;7;Undirected;census big data analytics use: international cross case analysis
10;8;Undirected;census big data analytics use: international cross case analysis
10;9;Undirected;census big data analytics use: international cross case analysis
13;14;Undirected;tensor-based big biometric data reduction in the cloud
13;15;Undirected;tensor-based big biometric data reduction in the cloud
14;13;Undirected;tensor-based big biometric data reduction in the cloud
14;15;Undirected;tensor-based big biometric data reduction in the cloud
15;13;Undirected;tensor-based big biometric data reduction in the cloud
15;14;Undirected;tensor-based big biometric data reduction in the cloud
16;17;Undirected;big data assurance evaluation: an sla-based approach
16;18;Undirected;big data assurance evaluation: an sla-based approach
16;19;Undirected;big data assurance evaluation: an sla-based approach
16;20;Undirected;big data assurance evaluation: an sla-based approach
17;16;Undirected;big data assurance evaluation: an sla-based approach
17;18;Undirected;big data assurance evaluation: an sla-based approach
17;19;Undirected;big data assurance evaluation: an sla-based approach
17;20;Undirected;big data assurance evaluation: an sla-based approach
18;16;Undirected;big data assurance evaluation: an sla-based approach
18;17;Undirected;big data assurance evaluation: an sla-based approach
18;19;Undirected;big data assurance evaluation: an sla-based approach
18;20;Undirected;big data assurance evaluation: an sla-based approach
19;16;Undirected;big data assurance evaluation: an sla-based approach
19;17;Undirected;big data assurance evaluation: an sla-based approach
19;18;Undirected;big data assurance evaluation: an sla-based approach
19;20;Undirected;big data assurance evaluation: an sla-based approach
20;16;Undirected;big data assurance evaluation: an sla-based approach
20;17;Undirected;big data assurance evaluation: an sla-based approach
20;18;Undirected;big data assurance evaluation: an sla-based approach
20;19;Undirected;big data assurance evaluation: an sla-based approach
22;23;Undirected;quality management in big data
22;455;Undirected;big data for internet of things: a survey
22;456;Undirected;big data for internet of things: a survey
23;22;Undirected;quality management in big data
24;5;Undirected;research on visualization and application of medical big data
24;3;Undirected;research on visualization and application of medical big data
26;103;Undirected;big data visualisation and visual analytics for music data mining
26;104;Undirected;big data visualisation and visual analytics for music data mining
26;105;Undirected;big data visualisation and visual analytics for music data mining
26;106;Undirected;big data visualisation and visual analytics for music data mining
26;107;Undirected;big data visualisation and visual analytics for music data mining
26;108;Undirected;big data visualisation and visual analytics for music data mining
26;313;Undirected;an innovative framework for supporting cognitive-based big data analytics for frequent pattern mining
26;104;Undirected;an innovative framework for supporting cognitive-based big data analytics for frequent pattern mining
26;108;Undirected;an innovative framework for supporting cognitive-based big data analytics for frequent pattern mining
26;314;Undirected;an innovative framework for supporting cognitive-based big data analytics for frequent pattern mining
26;315;Undirected;an innovative framework for supporting cognitive-based big data analytics for frequent pattern mining
28;29;Undirected;a contextual parsing of big data values to quantity surveyors
28;30;Undirected;a contextual parsing of big data values to quantity surveyors
29;28;Undirected;a contextual parsing of big data values to quantity surveyors
29;30;Undirected;a contextual parsing of big data values to quantity surveyors
30;28;Undirected;a contextual parsing of big data values to quantity surveyors
30;29;Undirected;a contextual parsing of big data values to quantity surveyors
31;32;Undirected;ontology learning based on word embeddings for text big data extraction
31;33;Undirected;ontology learning based on word embeddings for text big data extraction
32;31;Undirected;ontology learning based on word embeddings for text big data extraction
32;33;Undirected;ontology learning based on word embeddings for text big data extraction
33;31;Undirected;ontology learning based on word embeddings for text big data extraction
33;32;Undirected;ontology learning based on word embeddings for text big data extraction
34;35;Undirected;big data analytics in medicine and healthcare
35;34;Undirected;big data analytics in medicine and healthcare
36;37;Undirected;opportunities and coping strategies for opening big data majors in colleges and universities
36;38;Undirected;opportunities and coping strategies for opening big data majors in colleges and universities
37;36;Undirected;opportunities and coping strategies for opening big data majors in colleges and universities
37;38;Undirected;opportunities and coping strategies for opening big data majors in colleges and universities
38;36;Undirected;opportunities and coping strategies for opening big data majors in colleges and universities
38;37;Undirected;opportunities and coping strategies for opening big data majors in colleges and universities
39;40;Undirected;teaching system structure in financial college based on big data
39;41;Undirected;teaching system structure in financial college based on big data
39;40;Undirected;professional big data technology training courses in universities
39;111;Undirected;professional big data technology training courses in universities
40;39;Undirected;teaching system structure in financial college based on big data
40;41;Undirected;teaching system structure in financial college based on big data
40;39;Undirected;professional big data technology training courses in universities
40;111;Undirected;professional big data technology training courses in universities
40;288;Undirected;the practice teaching system of big data talent training in universities
41;39;Undirected;teaching system structure in financial college based on big data
41;40;Undirected;teaching system structure in financial college based on big data
42;43;Undirected;impacts on statistics education in big data era
42;44;Undirected;impacts on statistics education in big data era
43;42;Undirected;impacts on statistics education in big data era
43;44;Undirected;impacts on statistics education in big data era
44;42;Undirected;impacts on statistics education in big data era
44;43;Undirected;impacts on statistics education in big data era
45;46;Undirected;official statistics and big data
46;45;Undirected;official statistics and big data
47;48;Undirected;a literature review on the key technologies of processing big data
47;49;Undirected;a literature review on the key technologies of processing big data
47;50;Undirected;a literature review on the key technologies of processing big data
47;51;Undirected;a literature review on the key technologies of processing big data
48;47;Undirected;a literature review on the key technologies of processing big data
48;49;Undirected;a literature review on the key technologies of processing big data
48;50;Undirected;a literature review on the key technologies of processing big data
