Source;Target;Type;Label
0;1;Undirected;big data, big data analytics capability, and sustainable innovation performance
0;2;Undirected;big data, big data analytics capability, and sustainable innovation performance
1;0;Undirected;big data, big data analytics capability, and sustainable innovation performance
1;2;Undirected;big data, big data analytics capability, and sustainable innovation performance
2;0;Undirected;big data, big data analytics capability, and sustainable innovation performance
2;1;Undirected;big data, big data analytics capability, and sustainable innovation performance
5;6;Undirected;going big: a large-scale study on what big data developers ask
6;5;Undirected;going big: a large-scale study on what big data developers ask
7;8;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
7;9;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
7;10;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
8;7;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
8;9;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
8;10;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
9;7;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
9;8;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
9;10;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
10;7;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
10;8;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
10;9;Undirected;commentary: principles, approaches and challenges of applying big data in safety psychology research
11;12;Undirected;big data analytics in healthcare systems
11;28;Undirected;big data, cybersecurity, and challenges in healthcare
12;11;Undirected;big data analytics in healthcare systems
13;14;Undirected;a synthesis of big data definition and characteristics
14;13;Undirected;a synthesis of big data definition and characteristics
15;16;Undirected;big data impacts and challenges: a review
15;17;Undirected;big data impacts and challenges: a review
15;16;Undirected;a review on big data maturity models
15;17;Undirected;a review on big data maturity models
16;15;Undirected;big data impacts and challenges: a review
16;17;Undirected;big data impacts and challenges: a review
16;15;Undirected;a review on big data maturity models
16;17;Undirected;a review on big data maturity models
17;15;Undirected;big data impacts and challenges: a review
17;16;Undirected;big data impacts and challenges: a review
17;15;Undirected;a review on big data maturity models
17;16;Undirected;a review on big data maturity models
18;19;Undirected;qualibd: a tool for modelling quality requirements for big data applications
19;18;Undirected;qualibd: a tool for modelling quality requirements for big data applications
20;21;Undirected;role of big data management in enhancing big data decision-making capability and quality among chinese firms: a dynamic capabilities view
20;22;Undirected;role of big data management in enhancing big data decision-making capability and quality among chinese firms: a dynamic capabilities view
20;23;Undirected;role of big data management in enhancing big data decision-making capability and quality among chinese firms: a dynamic capabilities view
21;20;Undirected;role of big data management in enhancing big data decision-making capability and quality among chinese firms: a dynamic capabilities view
21;22;Undirected;role of big data management in enhancing big data decision-making capability and quality among chinese firms: a dynamic capabilities view
