Author short Names;authors;articles
"Huang, XT; Qin, NN; Zhang, XF; Wang, F";"Huang, Xiaotao; Qin, Niannian; Zhang, Xiaofang; Wang, Fen";Experimental Teaching Design and Practice on Big Data Course
Wang, YX;Wang, Yingxu;On the Cognitive and Theoretical Foundations of Big Data Science and Engineering
"Sun, ZH; Wang, PP";"Sun, Zhaohao; Wang, Paul P.";A Mathematical Foundation of Big Data
"Wang, YX; Peng, J";"Wang, Yingxu; Peng, Jun";Big Data Analytics: A Cognitive Perspectives
"Fang, W; Wen, XZ; Zheng, Y; Zhou, M";"Fang, Wei; Wen, Xue Zhi; Zheng, Yu; Zhou, Ming";A Survey of Big Data Security and Privacy Preserving
"Xie, CL; Gao, J; Tao, CQ";"Xie, Chunli; Gao, Jerry; Tao, Chuanqi";Big Data Validation Case Study
"Lam, SK; Sleep, S; Hennig-Thurau, T; Sridhar, S; Saboo, AR";"Lam, Son K.; Sleep, Stefan; Hennig-Thurau, Thorsten; Sridhar, Shrihari; Saboo, Alok R.";Leveraging Frontline Employees' Small Data and Firm-Level Big Data in Frontline Management: An Absorptive Capacity Perspective
Yablonsky, S;Yablonsky, Sergey;Big data governance framework
"Alexandru, A; Coardos, D";"Alexandru, Adriana; Coardos, Dora";Big Data - Concepts, Architectures and Technologies
"Solanki, N; Kachhwaha, R";"Solanki, Neha; Kachhwaha, Rajendra";Energy Efficient Strategy for Cloud based Big Data
"Li, J; Lu, M; Dou, GW; Wang, SY";"Li, Jun; Lu, Ming; Dou, Guowei; Wang, Shanyong";Big data application framework and its feasibility analysis in library
"Zhao, WF; Liu, GH; Chen, Z; Nyabuga, D; Yang, HC; Zhang, H; Ni, MF";"Zhao, Wenfeng; Liu, Guohua; Chen, Zhao; Nyabuga, Douglas; Yang, Huichun; Zhang, Heng; Ni, Mengfei";Querying Big Data from a Database Perspective
"Huang, J; Zhu, DJ; Tang, Y";"Huang, Jun; Zhu, Dingju; Tang, Yong";Health diagnosis robot based on healthcare big data and fuzzy matching
"Park, JH; Park, JH; Lee, NY";"Park, Joon Ho; Park, Jin Ho; Lee, Nam Young";Study of Big Data Analysis Procedures
"Fuller, D; Buote, R; Stanley, K";"Fuller, Daniel; Buote, Richard; Stanley, Kevin";A glossary for big data in population and public health: discussion and commentary on terminology and research methods
"Koseleva, N; Ropaite, G";"Koseleva, Natalija; Ropaite, Guoda";Big data in building energy efficiency: understanding of big data and main challenges
"He, B; Yang, FL; Zheng, K; Li, G; Tao, XD; Yao, W";"He, Bei; Yang, Fuli; Zheng, Ke; Li, Gang; Tao, Xuedan; Yao, Wang";Research on Big Data Technology Applied in Smart Grid
Polanski, J;Polanski, Jaroslaw;Big Data in Structure-Property Studies-From Definitions to Models
"Bagheri, A; Bollen, MHJ; Gu, IYH";"Bagheri, Azam; Bollen, Math H. J.; Gu, Irene Y. H.";Big Data from Smart Grids
Shapiro, JM;Shapiro, Jesse M.;Is Big Data a Big Deal for Applied Microeconomics?
Cuzzocrea, A;Cuzzocrea, Alfredo;Privacy-Preserving Big Data Stream Mining: Opportunities, Challenges, Directions
"Zhang, PC; Xiong, F; Gao, J; Wang, JM";"Zhang, Pengcheng; Xiong, Fang; Gao, Jerry; Wang, Jimin";Data Quality in Big Data Processing: Issues, Solutions and Open Problems
Baerg, A;Baerg, Andrew;Big Data, Sport, and the Digital Divide: Theorizing How Athletes Might Respond to Big Data Monitoring
"Xu, YH; Sun, Z; Sun, ZX";"Xu, Yuhua; Sun, Zhe; Sun, Zhixin";SDN-Based Architecture for Big Data Network
"Hu, JY; Chen, JL; Xie, M; Gao, B; Yu, ZH; Yan, JF; Lv, Y";"Hu, Jianyong; Chen, Jilin; Xie, Mei; Gao, Bo; Yu, Zhihong; Yan, Jianfeng; Lv, Ying";The Hadoop Technology Applies in Power Big Data Platform
"Kim, HY; Cho, JS";"Kim, Hee Yeong; Cho, June-Suh";Data Governance Framework for Big Data Implementation with a Case of Korea
"Rad, BB; Ataei, P";"Rad, Babak Bashari; Ataei, Pouya";The big data Ecosystem and its Environs
"Dai, ZQ; Xiang, CG";"Dai, Zhiqiang; Xiang, Changguo";Research on Intelligent Tourism Application Based on Big Data
Olszak, CM;Olszak, Celina M.;Big data driven strategy in organizations
Pokorny, J;Pokorny, Jaroslav;Big Data Storage and Management: Challenges and Opportunities
Wang, L;Wang, Lei;Based on the Technological Analysis of Big Data Security and Privacy Protection Technology
He, LY;He, Lianyue;Analysis and Management of Big Data Financial Risk
"Dave, M; Kamal, J";"Dave, Meenu; Kamal, Jahangir";Identifying Big Data Dimensions and Structure
"Shi, J; Ai, XY; Cao, ZY";"Shi, Jing; Ai, Xiaoyan; Cao, Ziyi";Can big data improve public policy analysis?
"Zhang, CJ; Shang, WQ; Lin, WG; Li, YA; Tan, R";"Zhang, Chunjie; Shang, Wenqian; Lin, Weiguo; Li, Yongan; Tan, Rui";Opportunities and Challenges of TV Media in the Big Data Era
"Minou, J; Routsis, F; Gallos, P; Mantas, J";"Minou, John; Routsis, Fotios; Gallos, Parisis; Mantas, John";Health Informatics Scientists' Perception About Big Data Technology
"Shah, FD; Li, JP; Shah, Y; Shah, F";"Shah, Fadia; Li, Jianping; Shah, Yasir; Shah, Faiza";Broad Big Data Domain via Medical Big Data
"Balaji, SN; Paul, PV; Saravanan, R";"Balaji, S. Naveen; Paul, P. Victer; Saravanan, R.";Survey on Sentiment Analysis based Stock Prediction using Big data Analytics
"Zhang, XM; Zhang, DJ; Zhou, JW; Shen, L";"Zhang, Xiaomin; Zhang, Deju; Zhou, Jianwei; Shen, Liang";On Influence, Opportunities and Challenges of Big Data to Government Statistics
"Liu, JW; Zhang, Y; Xing, CX";"Liu, Jianwei; Zhang, Yong; Xing, Chunxiao";Medical Big Data Web Service Management Platform
"Nereu, J; Almeida, A; Bernardino, J";"Nereu, Jorge; Almeida, Ana; Bernardino, Jorge";Big Data Analytics: A Preliminary Study of Open Source Platforms
Rui, L;Rui, Long;A Research on Big Data of Tourism Products Based on Internet
Shi, X;Shi, Xin;Present and Future of Network Big Data
Narisong;Narisong;The Application of Big Data in Economic Management
"Tang, TT; Hu, P";"Tang, Tiantian; Hu, Pei";Big Data Acquisition and Analysis of Retail Industry and Its Impact on Consumer Behavior
"Zhang, PC; Zhou, XW; Li, WR; Gao, J";"Zhang, Pengcheng; Zhou, Xuewu; Li, Wenrui; Gao, Jerry";A survey on quality assurance techniques for big data applications
"Noraziah, A; Fakherldin, MAI; Adam, K; Majid, MA";"Noraziah, A.; Fakherldin, Mohammed Adam Ibrahim; Adam, Khalid; Majid, Mazlina Abdul";Big Data Processing in Cloud Computing Environments
"Somasekhar, G; Karthikeyan, K";"Somasekhar, G.; Karthikeyan, K.";Fast Matrix Multiplication with Big Sparse Data
"Rao, AVSSR; Lakshmi, RD";"Rao, Akula V. S. Siva Rama; Lakshmi, R. Dhana";A Survey on Challenges in Integrating Big Data
"Malthouse, EC; Li, HR";"Malthouse, Edward C.; Li, Hairong";Opportunities for and Pitfalls of Using Big Data in Advertising Research
"Manekar, AS; Pradeepini, G";"Manekar, Amitkumar S.; Pradeepini, G.";Opportunity and Challenges for Migrating Big Data Analytics in Cloud
"Pauleen, DJ; Wang, WYC";"Pauleen, David J.; Wang, William Y. C.";Does big data mean big knowledge? KM perspectives on big data and analytics
"Manogaran, G; Lopez, D";"Manogaran, Gunasekaran; Lopez, Daphne";A survey of big data architectures and machine learning algorithms in healthcare
Wei, L;Wei, Liu;Campus Management Strategy Research Under the Environment of Big Data
"Huang, XX; Gong, S";"Huang, Xinxin; Gong, Shu";Analysis of Big-Data Based Data Mining Engine
"Abul Seoud, RAAA; Mahmoud, MA; Ramadan, AEE";"Abul Seoud, Rania Ahmed Abdel Azeem; Mahmoud, Mahmoud Ahmed; Ramadan, Amr Essam Eldin";BIG-BIO: - Big Data Hadoop-based Analytic Cluster Framework for Bioinformatics
