Author short Names;authors;articles
"Rouhani, S; Rotbei, S; Hamidi, H";"Rouhani, Saeed; Rotbei, Sayna; Hamidi, Homa";What do we know about the big data researches? A systematic review from 2011 to 2017
"Xiao, XL; Zhou, CR";"Xiao, Xianglin; Zhou, Chunrong";Application and Challenges of Big Data in Quality Monitoring of Highway Engineering
"Arruda, D; Madhavji, NH";"Arruda, Darlan; Madhavji, Nazim H.";Towards a Big Data Requirements Engineering Artefact Model in the Context of Big Data Software Development Projects
Zhang, GS;Zhang, Guosheng;Research on Company's Marketing Management Innovation System Based on Big Data
"Hou, J; Zhang, XK; Wang, YG";"Hou, Jie; Zhang, Xi-kun; Wang, Yao-gang";SVM-Based Clinical Decision Support Algorithm under Medical Big Data Architecture
Zhang, JX;Zhang, Juxiang;Research on Precision Marketing Strategy in Big Data Era
"Wu, X; Du, ZK; Dai, SJ; Liu, YZ";"Wu, Xing; Du, Zhikang; Dai, Shuji; Liu, Yazhou";The Fault Tolerance of Big Data Systems
Huang, N;Huang, Ning;Research on Big Data and Data Acquisition
Yu, W;Yu, Wei;Challenges and Reflections of Big Data Mining Based on Mobile Internet Customers
"Wang, HZ; Ding, XO; Chen, XY; Li, JZ; Gao, H";"Wang, Hongzhi; Ding, Xiaoou; Chen, Xiangying; Li, Jianzhong; Gao, Hong";CleanCloud: Cleaning Big Data on Cloud
"Lyu, DL; Zhu, SB";"Lyu, Denglong; Zhu, Shibing";A Novel Method Of Privacy-preserving based on Compressive Sensing for Big Data
"Liu, CH; Wang, JS; Lin, CW";"Liu, Che-Hung; Wang, Jen Sheng; Lin, Ching-Wei";The concepts of big data applied in personal knowledge management
Guo, HD;Guo, Huadong;Big Earth data: A new frontier in Earth and information sciences
"He, YM; Zhang, HM";"He, Yong-mei; Zhang, Hong-mei";On the Fusion and Value Discovery of Heterogeneous Non-conventional Big Data
Choo, KKR;Choo, Kim-Kwang Raymond;Research Challenges and Opportunities in Big Forensic Data
"Liu, AB; Guan, P";"Liu, Anbing; Guan, Ping";Big Data Technology Application under Belt and Road Initiative
"Zhelev, S; Rozeva, A";"Zhelev, Svetoslav; Rozeva, Anna";Big Data Processing in the Cloud - Challenges and Platforms
"Zeng, ZQ; Xu, XX; Shi, J";"Zeng, Ziqiang; Xu, Xinxin; Shi, Jonathan";Metasynthesis-Based Intelligent Big Data Processing Paradigm
"Panigrahi, PP; Singh, TR";"Panigrahi, Priya P.; Singh, Tiratha Raj";Data Mining, Big Data, Data Analytics: Big Data Analytics in Bioinformatics
"van Altena, AJ; Moerland, PD; Zwinderman, AH; Olabarriaga, SD";"van Altena, A. J.; Moerland, P. D.; Zwinderman, A. H.; Olabarriaga, S. D.";Analysis of the Term 'Big Data': Usage in Biomedical Publications
"Zhu, CS; Zhou, H; Leung, VCM; Wang, K; Zhang, Y; Yang, LT";"Zhu, Chunsheng; Zhou, Huan; Leung, Victor C. M.; Wang, Kun; Zhang, Yan; Yang, Laurence T.";Toward Big Data in Green City
"Ding, JH; Wang, JB; Kang, XJ; Hu, XH";"Ding, Junhua; Wang, Jiabin; Kang, Xiaojun; Hu, Xin-Hua";Building An SVM Classifier for Automated Selection of Big Data
"Yang, X; Wu, CK; Lu, K; Fang, L; Zhang, Y; Li, SK; Guo, GX; Du, YF";"Yang, Xi; Wu, Chengkun; Lu, Kai; Fang, Lin; Zhang, Yong; Li, Shengkang; Guo, Guixin; Du, YunFei";An Interface for Biomedical Big Data Processing on the Tianhe-2 Supercomputer
Cuzzocrea, A;Cuzzocrea, Alfredo;Multidimensional Mining of Big Social Data for Supporting Advanced Big Data Analytics
"Venkatram, K; Mary, AG";"Venkatram, Kari; Mary, Geetha A.";Review on Big Data & Analytics - Concepts, Philosophy, Process and Applications
Zhang, Q;Zhang, Qian;Private Colleges and Universities Open Cloud Architecture of Oracle Big Data Laboratory Program
"Mao, GJ; Qiao, JW";"Mao, Guojun; Qiao, Jiewei";A Solution for Mining Big Data Based on Distributed Data Streams and Its Classifying Algorithms
"Secundo, G; Del Vecchio, P; Dumay, J; Passiante, G";"Secundo, Giustina; Del Vecchio, Pasquale; Dumay, John; Passiante, Giuseppina";Intellectual capital in the age of Big Data: establishing a research agenda
"Khan, S; Liu, XF; Shakil, KA; Alam, M";"Khan, Samiya; Liu, Xiufeng; Shakil, Kashish A.; Alam, Mansaf";A survey on scholarly data: From big data perspective
"Dong, LL; Han, JC; Zhang, XH";"Dong, Lingling; Han, Jiachen; Zhang, Xiaohui";Application of Big Data in Online Education in China
"Bera, A; Kundu, A; De Sarkar, NR; Mou, D";"Bera, Anupam; Kundu, Anirban; De Sarkar, Nivedita Ray; Mou, De";Experimental Analysis on Big Data in IOT-Based Architecture
Peng, H;Peng, He;Research of Informational Ideological Education Grid Mechanism under the Environment of Big Data
"Sultan, K; Ali, H";"Sultan, Kashif; Ali, Hazrat";Where Big Data meets 5G?
"Berntzen, L; Krumova, M";"Berntzen, Lasse; Krumova, Milena";Big Data from a Business Perspective
"Pena, LEV; Mazahua, LR; Hernandez, GA; Zepahua, BAO; Camarena, SGP; Cano, IM";"Velazquez Pena, Luis Eder; Rodriguez Mazahua, Lisbeth; Alor Hernandez, Giner; Olivares Zepahua, Beatriz Alejandra; Pelaez Camarena, S. Gustavo; Machorro Cano, Isaac";Big Data visualization: Review of techniques and datasets
Jedlitschka, A;Jedlitschka, Andreas;Analyzing the Potential of Big Data A Tutorial for Business and IT Experts
"El Houari, M; Rhanoui, M; El Asri, B";"El Houari, Meryeme; Rhanoui, Maryem; El Asri, Bouchra";Hybrid Big Data Warehouse for On-demand decision needs
"Halford, S; Savage, M";"Halford, Susan; Savage, Mike";Speaking Sociologically with Big Data: Symphonic Social Science and the Future for Big Data Research
"Xiao, WJ; Xiang, CG";"Xiao, Wenjie; Xiang, Changguo";Overview of Tourism Data Mining in Big Data Environment
"Gheisari, M; Wang, GJ; Bhuiyan, MZA";"Gheisari, Mehdi; Wang, Guojun; Bhuiyan, Md Zakirul Alam";A Survey on Deep Learning in Big Data
"Vinothini, A; Priya, SB";"Vinothini, A.; Priya, S. Baghavathi";Survey of Machine Learning Methods for Big Data Applications
"Ouyang, CJ; Wang, H";"Ouyang, Chongjun; Wang, Hu";Sampling Survey among Undergraduates in the Age of Big Data
"Klievink, B; Romijn, BJ; Cunningham, S; de Bruijn, H";"Klievink, Bram; Romijn, Bart-Jan; Cunningham, Scott; de Bruijn, Hans";Big data in the public sector: Uncertainties and readiness
"Lv, ZH; Song, HB; Basanta-Val, P; Steed, A; Jo, M";"Lv, Zhihan; Song, Houbing; Basanta-Val, Pablo; Steed, Anthony; Jo, Minho";Next-Generation Big Data Analytics: State of the Art, Challenges, and Future Research Topics
Grodzinsky, FS;Grodzinsky, Frances S.;Why Big Data Needs the Virtues
Liu, XL;Liu Xianglan;Digital Construction of Coal Mine Big Data for Different Platforms Based on Life Cycle
"Sarwar, MU; Hanif, MK; Talib, R; Mobeen, A; Aslam, M";"Sarwar, Muhammad Umer; Hanif, Muhammad Kashif; Talib, Ramzan; Mobeen, Awais; Aslam, Muhammad";A Survey of Big Data Analytics in Healthcare
"Tian, Y; Li, TS; Chen, CLP";"Tian, Ye; Li, Tieshan; Chen, C. L. Philip";Shipping Big Data and its Application Prospects in Shipping Company
"Bhardwaj, A; Singh, W";"Bhardwaj, Ashu; Singh, Williamjeet";Systematic Review of Big Data Analytics in Governance
"Lin, C; Li, GL; Shan, ZG; Shi, Y";"Lin, Chuang; Li, Guoliang; Shan, Zhiguang; Shi, Yong";Thinking and Modeling for Big Data from the Perspective of the I Ching
Jones-Schenk, J;Jones-Schenk, Jan;Data: Big and Small
"Guo, WG; Xie, JQ; Zhu, Z; Lin, QM; Li, XH";"Guo, Weigang; Xie, Jianqin; Zhu, Zhen; Lin, Qiuming; Li, Xiaohua";Analysis and Research on the Development and Application of Big Data in Foshan
Zhang, YY;Zhang Yuanyuan;Research on the innovation of Ideological and political education mode in Universities in big data Era
"Moebus, S; Kuhn, J; Hoffmann, W";"Moebus, Susanne; Kuhn, Joseph; Hoffmann, Wolfgang";Big Data and Public Health Results of the Working Group 1 of the Forum Future Public Health, Berlin 2016
"Jiao, YT; Wang, P; Niyato, D; Abu Alsheikh, M; Feng, SH";"Jiao, Yutao; Wang, Ping; Niyato, Dusit; Abu Alsheikh, Mohammad; Feng, Shaohan";Profit Maximization Auction and Data Management in Big Data Markets
"Tamane, SC; Solanki, VK; Joshi, MS";"Tamane, Sharvari C.; Solanki, Vijender K.; Joshi, Madhuri S.";The Basics of Big Data and Security Concerns
"Sunitha, S; Janthakal, R";"Sunitha, S.; Janthakal, Rajeshwari";Designing and Development of a New Consumption Model from Big Data to form Data-as-a-Product (DaaP)
Yang, MQ;Yang, Muqiao;Research Progress on Data Analysis in Big Data Technology
Goyal, A;Goyal, Abhishek;Impact Study of Big Data on Capitalism and Socialism
"Guo, FH; Chen, YY";"Guo, Fuhong; Chen, Yanying";Analysis of Marketing Strategy in Big Data Environment
"Patel, K; Patel, B; Mishra, M; Patel, N";"Patel, Kushal; Patel, Brijesh; Mishra, Mihir; Patel, Nilesh";Privacy Issues in Big Data
"Canbay, Y; Sagiroglu, S";"Canbay, Yavuz; Sagiroglu, Seref";Big Data Anonymization with Spark
"Fu, LM; Yan, WS";"Fu Lingmei; Yan Wensheng";A Study on Impacts of Big Data and Their Countermeasures on Financial Accounting
"Xu, HS; Fan, GL; Li, K";"Xu, Hongsheng; Fan, Ganglong; Li, Ke";Research on Industry Data Analysis Model Based on Hadoop Big Data Platform
Zhang, S;Zhang, Suiyi;Extracting Value from Big Data: Taking Big Data Processing and Analysis into Account
"Sharma, N; Sawai, D; Surve, G";"Sharma, Neha; Sawai, Deepali; Surve, Ganesh";Big Data Analytics: Impacting Business in Big Way
"Li, Y; Huang, JQ; Qin, SZ; Wang, RJ";"Li Yue; Huang Junqin; Qin Shengzhi; Wang Ruijin";Big Data Model of Security Sharing Based on Blockchain
Xu, YX;Xu, Yuxuan;Research on the Development of Data Scientific Analysis Tools in the Big Data Age
"Alharthi, A; Krotov, V; Bowman, M";"Alharthi, Abdulkhaliq; Krotov, Vlad; Bowman, Michael";Addressing barriers to big data
AL-Hakimi, AAA;AL-Hakimi, Abeer Ahmed Abdullah;Big Data Skills Required for Successful Application Implementation in the Banking Sector
"Shinde, PP; Oza, KS; Kamat, RK";"Shinde, Priyanka P.; Oza, Kavita S.; Kamat, R. K.";Big Data Predictive Analysis: Using R Analytical Tool
"Tandoc, EC; Oh, SK";"Tandoc, Edson C., Jr.; Oh, Soo-Kwang";Small Departures, Big Continuities?: Norms, values, and routines in The Guardian's big data journalism
"Patel, B; Roy, S; Bhattacharyya, D; Kim, TH";"Patel, Bhavya; Roy, Sudipta; Bhattacharyya, Debnath; Kim, Tai-Hoon";Necessity of Big Data and Analytics for Good e-governance
"Guo, WG; Zhu, Z; Li, XH; Xie, JQ; Lin, QM";"Guo, Weigang; Zhu, Zhen; Li, Xiaohua; Xie, Jianqin; Lin, Qiuming";Countermeasures to Improve Local Government Governance Capability by Using Big Data
"Marjani, M; Nasaruddin, F; Gani, A; Karim, A; Hashem, IAT; Siddiqa, A; Yaqoob, I";"Marjani, Mohsen; Nasaruddin, Fariza; Gani, Abdullah; Karim, Ahmad; Hashem, Ibrahim Abaker Targio; Siddiqa, Aisha; Yaqoob, Ibrar";Big IoT Data Analytics: Architecture, Opportunities, and Open Research Challenges
"Anshari, M; Lim, SA";"Anshari, Muhammad; Lim, Syamimi Ariff";E-Government with Big Data Enabled through Smartphone for Public Services: Possibilities and Challenges
"Desouza, KC; Jacob, B";"Desouza, Kevin C.; Jacob, Benoy";Big Data in the Public Sector: Lessons for Practitioners and Scholars
"Li, AF; Xiao, ZN; Liang, BY";"Li, Aifeng; Xiao, Zhineng; Liang, Biyun";Recognition and Analysis of Poor Students on College Students Campus Card Consumption Data Based on Big Data
"Marfo, JS; Boateng, R; Effah, J";"Marfo, John Serbe; Boateng, Richard; Effah, John";A Typology of Big Data Capabilities from Resources to Dynamic Capabilities. Evidence from a Ghanaian Health Insurance Firm.
Lee, I;Lee, In;Big data: Dimensions, evolution, impacts, and challenges
"Al-Htaybat, K; von Alberti-Alhtaybat, L";"Al-Htaybat, Khaldoon; von Alberti-Alhtaybat, Larissa";Big Data and corporate reporting: impacts and paradoxes
Jelonek, D;Jelonek, Dorota;BIG DATA IN MANAGEMENT OF METAL SECTOR ENTERPRISES
"Househ, MS; Aldosari, B; Alanazi, A; Kushniruk, AW; Borycki, EM";"Househ, Mowafa S.; Aldosari, Bakheet; Alanazi, Abdullah; Kushniruk, Andre W.; Borycki, Elizabeth M.";Big Data, Big Problems: A Healthcare Perspective
"Hu, Y; Bajorath, J";"Hu, Ye; Bajorath, Juergen";Entering the 'big data' era in medicinal chemistry: molecular promiscuity analysis revisited
"Lugmayr, A; Stockleben, B; Scheib, C; Mailaparampil, MA";"Lugmayr, Artur; Stockleben, Bjoern; Scheib, Christoph; Mailaparampil, Mathew A.";Cognitive big data: survey and review on big data research and its implications. What is really new in big data?
"Pradeep, S; Kallimani, JS";"Pradeep, S.; Kallimani, Jagadish S.";A Survey on Various Challenges and Aspects in Handling Big Data
"Sart, G; Kirbaslar, SI";"Sart, G.; Kirbaslar, S. I.";THE FUTURE OF THE UNIVERSITIES: HOW TO MAKE READY THE UNIVERSITIES THROUGH BIG DATA MINING AND MANAGEMENT
"Akoka, J; Comyn-Wattiau, I; Laoufi, N";"Akoka, Jacky; Comyn-Wattiau, Isabelle; Laoufi, Nabil";Research on Big Data - A systematic mapping study
"Nguyen, MT; Boundy, E";"Mai Thi Nguyen; Boundy, Emma";Big Data and Smart (Equitable) Cities
"Janssen, M; van der Voort, H; Wahyudi, A";"Janssen, Marijn; van der Voort, Haiko; Wahyudi, Agung";Factors influencing big data decision-making quality
"Chitransh, N; Mehrotra, C; Singh, AS";"Chitransh, Nayan; Mehrotra, Chitvan; Singh, Ajay Shanker";Risk for Big Data in the Cloud
"Elankavi, R; Kalaiprasath, R; Udayakumar, R";"Elankavi, R.; Kalaiprasath, R.; Udayakumar, R.";DATA MINING WITH BIG DATA REVOLUTION HYBRID
"Xu, L; Yan, YH";"Xu, Long; Yan, Yihua";Machine Learning for Astronomical Big Data Processing
"Xu, HH; Fang, M; Li, L; Tian, Y; Li, YF";"Xu, Honghua; Fang, Ming; Li, Li; Tian, Ye; Li, Yanfeng";The Value of Data Mining for Surveillance Video in Big Data Era
"Murthy, US; Geerts, GL";"Murthy, Uday S.; Geerts, Guido L.";An REA Ontology-Based Model for Mapping Big Data to Accounting Information Systems Elements
Chen, T;Chen, Ting;Analysis of Computer Data Processing Mode based on Big Data Era
"Zhao, B; Fu, L";"Zhao, Bing; Fu, Li";Reform of Teaching Mode in Universities Based on Big Data
[Anonymous];[Anonymous];Big stars, big ideas, big data
"Dincer, C; Akpolat, G; Zeydan, E";"Dincer, Cem; Akpolat, Gamze; Zeydan, Engin";Security Issues of Big Data Applications Served by Mobile Operators
"Dierckens, KE; Harrison, AB; Leung, CK; Pind, AV";"Dierckens, Karl E.; Harrison, Adrian B.; Leung, Carson K.; Pind, Adrienne V.";A Data Science and Engineering Solution for Fast k-Means Clustering of Big Data
"Stefanowski, J; Krawiec, K; Wrembel, R";"Stefanowski, Jerzy; Krawiec, Krzysztof; Wrembel, Robert";EXPLORING COMPLEX AND BIG DATA
"Mo, TL; Gao, TP";"Mo Tai-lin; Gao Tian-peng";Bibliometric Analysis on Domestic Big Data Governance
"Ni, P; Xu, SB; Ma, H";"Ni, Peng; Xu, Shibo; Ma, Hang";Study on the Countermeasure of Security Problems of Big Data Caused by Data Fragmentation
"Guo, HD; Liu, Z; Jiang, H; Wang, CL; Liu, J; Liang, D";"Guo, Huadong; Liu, Zhen; Jiang, Hao; Wang, Changlin; Liu, Jie; Liang, Dong";Big Earth Data: a new challenge and opportunity for Digital Earth's development
"Amirian, P; van Loggerenberg, F; Lang, T";"Amirian, Pouria; van Loggerenberg, Francois; Lang, Trudie";Big Data and Big Data Technologies
"Johnson, TP; Smith, TW";"Johnson, Timothy P.; Smith, Tom W.";Big Data and Survey Research: Supplement or Substitute?
"Hernes, M; Bytniewski, A";"Hernes, Marcin; Bytniewski, Andrzej";Towards Big Management
"Park, G; Park, S; Khan, L; Chung, L";"Park, Grace; Park, Sooyong; Khan, Latifur; Chung, Lawrence";IRIS: A Goal-Oriented Big Data Analytics Framework on Spark for Better Business Decisions
"Shah, S; Soriano, CB; Coutroubis, AD";"Shah, S.; Soriano, C. Bardon; Coutroubis, A. D.";Is Big Data for Everyone? The Challenges of Big Data Adoption in SMEs
"Chen, Y; Li, X";"Chen, Yan; Li, Xin";Research on Big Data Application in Intelligent Safety Supervision
"Storey, VC; Song, IY";"Storey, Veda C.; Song, Il-Yeol";Big data technologies and Management: What conceptual modeling can do
"Hashiyana, V; Suresh, N; Sverdlik, W";"Hashiyana, Valerianus; Suresh, Nalina; Sverdlik, William";Big Data: We're Almost at Infinity
Ye, CL;Ye, Chunlei;Research on the Key Technology of Big Data Service in University Library
"Pei, ZJ; Han, L; Gu, JQ";"Pei, Zhi-jun; Han, Lei; Gu, Jin-qing";Application of Big Data in Higher Education for Learning Analytics
"Zhang, JJ; Yang, L";"Zhang, Jun-Jie; Yang, Li";A Research on Enterprise Crisis Management Innovation Based on Big Data Technology
"Manikandan, G; Abirami, S";"Manikandan, G.; Abirami, S.";Big Data Layers and Analytics: A Survey
"Alexander, D; Lyytinen, K";"Alexander, Dijo; Lyytinen, Kalle";Organizing Successfully for Big Data to Transform Organizations
"Zhou, LX; Huang, MH";"Zhou, Lixiao; Huang, Maohai";Challenges of software testing for astronomical big data
Wang, JP;Wang, Jiang-ping;A Data Science Paradigm Shift in the Age of Big Data
"Naik, K; Joshi, A";"Naik, Kirtida; Joshi, Abhijit";Role of Big Data in various sectors
Nie, FY;Nie, Feng-Ying;A Value-oriented Model of Big Data-Driven Knowledge Management and Collaborative Services: A Meteorological Service Case
"Sena, B; Allian, AP; Nakagawa, EY";"Sena, Bruno; Allian, Ana Paula; Nakagawa, Elisa Yumi";Characterizing Big Data Software Architectures: A Systematic Mapping Study
"Kanika; Agrawal, A; Khan, RA";"Kanika; Agrawal, Alka; Khan, R. A.";Security Integration in Big Data Life Cycle
"Kishore, N; Saxena, S; Raina, P";"Kishore, Neha; Saxena, Sapna; Raina, Priya";Big Data as a Challenge and Opportunity in Digital Forensic Investigation
"Samosir, RS; Hendric, HL; Gaol, FL; Abdurachman, E; Soewito, B";"Samosir, Ridha Sefina; Hendric, Harco Leslie; Gaol, Ford Lumban; Abdurachman, Edi; Soewito, Benfano";Measurement Metric Proposed For Big Data Analytics System
Frith, J;Frith, Jordan;Big Data, Technical Communication, and the Smart City
"Park, G; Chung, L; Zhao, LP; Supakkul, S";"Park, Grace; Chung, Lawrence; Zhao, Liping; Supakkul, Sam";A Goal-Oriented Big Data Analytics Framework for Aligning with Business
"Yang, ZB; Zhang, ZQ; Zhang, SH; Wang, J; Lin, HD; Zeng, BY";"Yang, Zongbao; Zhang, Zhiqian; Zhang, Shaohong; Wang, Jing; Lin, Haodong; Zeng, Baoying";Patent Abstract Analysis on Chinese big Data
"Godhandaraman, T; Pruthviraj, N; Praveenkumar, V; Banuprasad, A; Karthick, K";"Godhandaraman, T.; Pruthviraj, N.; Praveenkumar, V; Banuprasad, A.; Karthick, K.";Big Data In Genomics
Mizohata, K;Mizohata, Kiyoshi;The Analysis of Big Data by Wavelets
"Tan, C; Haji, M";"Tan, Chekfoung; Haji, Mohammed";Big Data Educational Portal for Small and Medium Sized Enterprises (SMEs)
Zhou, Y;Zhou, You;Exploration on the New Development of Advertising Form in the Era of Big Data
