Author short Names;authors;articles
"Jiang, M; Fu, KW";"Jiang, Min; Fu, King-Wa";Chinese Social Media and Big Data: Big Data, Big Brother, Big Profit?
"Maalla, A; Wu, GY; Ning, XH";"Maalla, Allam; Wu, Guang-Yu; Ning, Xiao-Hong";Professional Big Data Technology Training Courses in Universities
Isik, O;Isik, Oyku;Big Data Capabilities: An Organizational Information Processing Perspective
"Zhang, N; Yang, P; Ren, J; Chen, DJ; Yu, L; Shen, XM";"Zhang, Ning; Yang, Peng; Ren, Ju; Chen, Dajiang; Yu, Li; Shen, Xuemin (Sherman)";SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
"Nafis, NSM; Awang, S";"Nafis, Nur Syafiqah Mohd; Awang, Suryanti";Challenges and Issues in Unstructured Big Data: A Systematic Literature Review
"Sun, ZH; Sun, LZ; Strang, K";"Sun, Zhaohao; Sun, Lizhe; Strang, Kenneth";Big Data Analytics Services for Enhancing Business Intelligence
"Chen, Y; Li, QH; Shi, GY; Guo, D; Wu, J; Liao, WJ; Chen, J; Sun, FK";"Chen, Yun; Li, Quanhe; Shi, Guangyi; Guo, Dong; Wu, Jian; Liao, Weijing; Chen, Jian; Sun, Fukun";Design of Big Data Platform for TFT-LCD Line Yield Analysis
Yang, M;Yang, Ming;Research on Intellectual Property Protection from the Perspective of Big Data
"Khaloufi, H; Abouelmehdi, K; Beni-Hssane, A; Saadi, M";"Khaloufi, Hayat; Abouelmehdi, Karim; Beni-Hssane, Abderrahim; Saadi, Mostafa";Security model for Big Healthcare Data Lifecycle
Shen, B;Shen, Bin;Universal knowledge discovery from big data using combined dual-cycle
Alhussain, T;Alhussain, Thamer;Medical Big Data Analysis Using Big Data Tools and Methods
"Wahyudi, A; Farhani, A; Janssen, M";"Wahyudi, Agung; Farhani, Adiska; Janssen, Marijn";Relating Big Data and Data Quality in Financial Service Organizations
"Lu, M; Zhou, X";"Lu, Ming; Zhou, Xu";A Big Data on Private Cloud Agile Provisioning Framework Based on OpenStack
Yassa, MM;Yassa, Morcous Massoud;Big Data and Virtual Organizations Contriction
"Peng, SC; Yu, S; Mueller, P";"Peng, Sancheng; Yu, Shui; Mueller, Peter";Social networking big data: Opportunities, solutions, and challenges
"Rezaee, Z; Dorestani, A; Aliabadi, S";"Rezaee, Zabihollah; Dorestani, Alireza; Aliabadi, Sara";Application of Time Series Analyses in Big Data: Practical, Research, and Education Implications
Cheng, SS;Cheng, Shasha;Research on Education Management in the Age of Big Data
"Lokshina, IV; Lanting, CJM";"Lokshina, Izabella V.; Lanting, Cees J. M.";Addressing Ethical Concerns of Big Data as a Prerequisite for a Sustainable Big Data Industry
"Kristiadi, DP; Warnars, HLHS; Randriatoamanana, R; Megantara, F; Nulhakim, L; Zarlis, M";"Kristiadi, Dedy Prasetya; Warnars, Harco Leslie Hendric Spits; Randriatoamanana, Richard; Megantara, Fauzi; Nulhakim, Lukman; Zarlis, Muhammad";Big Data implementation for Inventory warehouse systems
"Ali, AH; Abdullah, MZ";"Ali, Ahmed Hussein; Abdullah, Mahmood Zaki";Recent trends in distributed online stream processing platform for big data: Survey
