Source;Target;Type;Label
1;0;Directed;Big Data with Ten Big Characteristics
1;2;Directed;Big Data with Ten Big Characteristics
1;0;Directed;Big Data Analytics Services for Enhancing Business Intelligence
1;121;Directed;Big Data Analytics Services for Enhancing Business Intelligence
2;0;Directed;Big Data with Ten Big Characteristics
4;3;Directed;Research on Application of Healthcare Data in Big Data Era
4;3;Directed;Research on Application of Big Data in Medical Industry
5;3;Directed;Research on Application of Healthcare Data in Big Data Era
5;4;Directed;Research on Application of Healthcare Data in Big Data Era
5;6;Directed;Research on Application of Healthcare Data in Big Data Era
5;3;Directed;Research on Visualization and Application of Medical Big Data
6;3;Directed;Research on Application of Healthcare Data in Big Data Era
6;4;Directed;Research on Application of Healthcare Data in Big Data Era
6;3;Directed;Research on Application of Big Data in Medical Industry
6;4;Directed;Research on Application of Big Data in Medical Industry
8;7;Directed;Census Big Data Analytics Use: International Cross Case Analysis
9;7;Directed;Census Big Data Analytics Use: International Cross Case Analysis
9;8;Directed;Census Big Data Analytics Use: International Cross Case Analysis
9;10;Directed;Census Big Data Analytics Use: International Cross Case Analysis
10;7;Directed;Census Big Data Analytics Use: International Cross Case Analysis
10;8;Directed;Census Big Data Analytics Use: International Cross Case Analysis
14;13;Directed;Tensor-Based Big Biometric Data Reduction in the Cloud
14;15;Directed;Tensor-Based Big Biometric Data Reduction in the Cloud
15;13;Directed;Tensor-Based Big Biometric Data Reduction in the Cloud
18;16;Directed;Big Data Assurance Evaluation: An SLA-based Approach
18;17;Directed;Big Data Assurance Evaluation: An SLA-based Approach
18;20;Directed;Big Data Assurance Evaluation: An SLA-based Approach
19;16;Directed;Big Data Assurance Evaluation: An SLA-based Approach
19;17;Directed;Big Data Assurance Evaluation: An SLA-based Approach
19;18;Directed;Big Data Assurance Evaluation: An SLA-based Approach
19;20;Directed;Big Data Assurance Evaluation: An SLA-based Approach
22;23;Directed;Quality Management in Big Data
24;5;Directed;Research on Visualization and Application of Medical Big Data
24;3;Directed;Research on Visualization and Application of Medical Big Data
26;103;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
26;104;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
26;104;Directed;An Innovative Framework for Supporting Cognitive-Based Big Data Analytics for Frequent Pattern Mining
26;315;Directed;An Innovative Framework for Supporting Cognitive-Based Big Data Analytics for Frequent Pattern Mining
29;28;Directed;A contextual parsing of big data values to quantity surveyors
29;30;Directed;A contextual parsing of big data values to quantity surveyors
30;28;Directed;A contextual parsing of big data values to quantity surveyors
32;31;Directed;Ontology Learning Based on Word Embeddings for Text Big Data Extraction
32;33;Directed;Ontology Learning Based on Word Embeddings for Text Big Data Extraction
33;31;Directed;Ontology Learning Based on Word Embeddings for Text Big Data Extraction
34;35;Directed;Big Data Analytics in Medicine and Healthcare
37;36;Directed;Opportunities and Coping Strategies for Opening Big Data Majors in Colleges and Universities
37;38;Directed;Opportunities and Coping Strategies for Opening Big Data Majors in Colleges and Universities
38;36;Directed;Opportunities and Coping Strategies for Opening Big Data Majors in Colleges and Universities
40;111;Directed;Professional Big Data Technology Training Courses in Universities
41;39;Directed;Teaching System Structure in Financial College Based on Big Data
41;40;Directed;Teaching System Structure in Financial College Based on Big Data
43;42;Directed;Impacts on Statistics Education in Big Data Era
43;44;Directed;Impacts on Statistics Education in Big Data Era
44;42;Directed;Impacts on Statistics Education in Big Data Era
45;46;Directed;Official Statistics and Big Data
49;47;Directed;A Literature Review on the Key Technologies of Processing Big Data
49;48;Directed;A Literature Review on the Key Technologies of Processing Big Data
49;51;Directed;A Literature Review on the Key Technologies of Processing Big Data
50;47;Directed;A Literature Review on the Key Technologies of Processing Big Data
50;48;Directed;A Literature Review on the Key Technologies of Processing Big Data
50;49;Directed;A Literature Review on the Key Technologies of Processing Big Data
50;51;Directed;A Literature Review on the Key Technologies of Processing Big Data
53;52;Directed;Exploring Big Data Governance Frameworks
53;54;Directed;Exploring Big Data Governance Frameworks
53;519;Directed;Exploring the Potential Benefits of Big Data Analytics in Providing Smart Healthcare
53;52;Directed;Exploring the Potential Benefits of Big Data Analytics in Providing Smart Healthcare
54;52;Directed;Exploring Big Data Governance Frameworks
55;56;Directed;Study on Feature Selection and Feature Deep Learning Model For Big Data
58;57;Directed;Big data analytics: Understanding its capabilities and potential benefits for healthcare organizations
58;59;Directed;Big data analytics: Understanding its capabilities and potential benefits for healthcare organizations
58;57;Directed;An integrated big data analytics-enabled transformation model: Application to health care
62;63;Directed;A Review of Big Data Analytics for Customer Relationship Management
64;65;Directed;Determining Big Data Complexity Using Hierarchical Structure of Groups and Clusters in Decision Tree
67;66;Directed;Challenges and techniques in Big data security and privacy: A review
67;68;Directed;Challenges and techniques in Big data security and privacy: A review
68;66;Directed;Challenges and techniques in Big data security and privacy: A review
69;71;Directed;Privacy Preserving Big Data Publishing
70;69;Directed;Privacy Preserving Big Data Publishing
70;71;Directed;Privacy Preserving Big Data Publishing
71;450;Directed;Smart Grid Security Evaluation with a Big Data Use Case
73;72;Directed;Skill Requirements in Big Data: A Content Analysis of Job Advertisements
74;72;Directed;Skill Requirements in Big Data: A Content Analysis of Job Advertisements
74;73;Directed;Skill Requirements in Big Data: A Content Analysis of Job Advertisements
74;75;Directed;Skill Requirements in Big Data: A Content Analysis of Job Advertisements
75;72;Directed;Skill Requirements in Big Data: A Content Analysis of Job Advertisements
75;73;Directed;Skill Requirements in Big Data: A Content Analysis of Job Advertisements
77;76;Directed;A Review of Big Data Security and Privacy Protection Technology
78;76;Directed;A Review of Big Data Security and Privacy Protection Technology
78;77;Directed;A Review of Big Data Security and Privacy Protection Technology
78;79;Directed;A Review of Big Data Security and Privacy Protection Technology
79;76;Directed;A Review of Big Data Security and Privacy Protection Technology
79;77;Directed;A Review of Big Data Security and Privacy Protection Technology
80;81;Directed;Contingency Management in Big Data Era
82;83;Directed;Application of Network Big Data on User Experience Application Model
85;84;Directed;Testing of big data analytics systems by benchmark
85;86;Directed;Testing of big data analytics systems by benchmark
86;84;Directed;Testing of big data analytics systems by benchmark
87;88;Directed;Understanding Adoption of Big Data Analytics in China: From Organizational Users Perspective
90;89;Directed;Representational Quality Challenges of Big Data: Insights from Comparative Case Studies
91;89;Directed;Representational Quality Challenges of Big Data: Insights from Comparative Case Studies
91;90;Directed;Representational Quality Challenges of Big Data: Insights from Comparative Case Studies
91;89;Directed;Relating Big Data and Data Quality in Financial Service Organizations
91;137;Directed;Relating Big Data and Data Quality in Financial Service Organizations
92;93;Directed;Big Data Security Framework Based on Encryption
95;94;Directed;Big Data and Open Government Data in Public Services
95;96;Directed;Big Data and Open Government Data in Public Services
96;94;Directed;Big Data and Open Government Data in Public Services
97;98;Directed;Improve Decision Making towards Universities Performance through Big Data Analytics
99;100;Directed;A Comparative Study of Recent Advances in Big Data for Security and Privacy
101;102;Directed;Secured and High Performance Distributed Big Data Storage in Cloud Systems
104;103;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
104;105;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
104;106;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
104;107;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
104;315;Directed;Scalable Vertical Mining for Big Data Analytics of Frequent Itemsets
106;105;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
107;105;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
107;106;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
108;103;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
108;104;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
108;105;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
108;106;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
108;107;Directed;Big Data Visualisation and Visual Analytics for Music Data Mining
108;104;Directed;An Innovative Framework for Supporting Cognitive-Based Big Data Analytics for Frequent Pattern Mining
108;315;Directed;An Innovative Framework for Supporting Cognitive-Based Big Data Analytics for Frequent Pattern Mining
109;110;Directed;Chinese Social Media and Big Data: Big Data, Big Brother, Big Profit?
113;118;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
114;113;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
114;118;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
115;113;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
115;114;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
115;118;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
116;113;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
116;114;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
116;115;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
116;118;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
117;113;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
117;114;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
117;115;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
117;116;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
117;118;Directed;SYNERGY OF BIG DATA AND 5G WIRELESS NETWORKS: OPPORTUNITIES, APPROACHES, AND CHALLENGES
119;120;Directed;Challenges and Issues in Unstructured Big Data: A Systematic Literature Review
121;0;Directed;Big Data Analytics Services for Enhancing Business Intelligence
125;122;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
125;123;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
125;124;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
125;129;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
126;122;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
126;123;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
126;124;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
126;125;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
126;129;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
127;122;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
127;123;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
127;124;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
127;125;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
127;129;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
128;122;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
128;123;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
128;124;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
128;125;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
128;126;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
128;127;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
128;129;Directed;Design of Big Data Platform for TFT-LCD Line Yield Analysis
132;131;Directed;Security model for Big Healthcare Data Lifecycle
133;131;Directed;Security model for Big Healthcare Data Lifecycle
133;132;Directed;Security model for Big Healthcare Data Lifecycle
133;134;Directed;Security model for Big Healthcare Data Lifecycle
134;131;Directed;Security model for Big Healthcare Data Lifecycle
134;132;Directed;Security model for Big Healthcare Data Lifecycle
138;139;Directed;A Big Data on Private Cloud Agile Provisioning Framework Based on OpenStack
142;141;Directed;Social networking big data: Opportunities, solutions, and challenges
142;143;Directed;Social networking big data: Opportunities, solutions, and challenges
143;141;Directed;Social networking big data: Opportunities, solutions, and challenges
145;144;Directed;Application of Time Series Analyses in Big Data: Practical, Research, and Education Implications
145;146;Directed;Application of Time Series Analyses in Big Data: Practical, Research, and Education Implications
146;144;Directed;Application of Time Series Analyses in Big Data: Practical, Research, and Education Implications
148;149;Directed;Addressing Ethical Concerns of Big Data as a Prerequisite for a Sustainable Big Data Industry
153;150;Directed;Big Data implementation for Inventory warehouse systems
153;151;Directed;Big Data implementation for Inventory warehouse systems
153;152;Directed;Big Data implementation for Inventory warehouse systems
153;155;Directed;Big Data implementation for Inventory warehouse systems
154;150;Directed;Big Data implementation for Inventory warehouse systems
154;151;Directed;Big Data implementation for Inventory warehouse systems
154;152;Directed;Big Data implementation for Inventory warehouse systems
154;153;Directed;Big Data implementation for Inventory warehouse systems
154;155;Directed;Big Data implementation for Inventory warehouse systems
156;157;Directed;Recent trends in distributed online stream processing platform for big data: Survey
158;159;Directed;Big Data Infrastructure, Data Visualisation and Challenges
160;161;Directed;Analysis of Power User Behavior Based on Big Data Technology: A Review
164;162;Directed;From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data
164;163;Directed;From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data
164;166;Directed;From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data
165;162;Directed;From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data
165;163;Directed;From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data
165;164;Directed;From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data
165;166;Directed;From Big Data to Big Information and Big Knowledge: the Case of Earth Observation Data
169;168;Directed;Big Data and Data Quality Dimensions
170;168;Directed;Big Data and Data Quality Dimensions
170;169;Directed;Big Data and Data Quality Dimensions
170;171;Directed;Big Data and Data Quality Dimensions
171;168;Directed;Big Data and Data Quality Dimensions
171;169;Directed;Big Data and Data Quality Dimensions
172;173;Directed;The myth of big data: Chinese advertising practitioners' perspective
174;175;Directed;Security of Big Data: A Review
177;176;Directed;On Designing a Generic Framework for Big Data-as-a-Service
178;176;Directed;On Designing a Generic Framework for Big Data-as-a-Service
178;177;Directed;On Designing a Generic Framework for Big Data-as-a-Service
178;179;Directed;On Designing a Generic Framework for Big Data-as-a-Service
179;176;Directed;On Designing a Generic Framework for Big Data-as-a-Service
179;177;Directed;On Designing a Generic Framework for Big Data-as-a-Service
180;181;Directed;Impact of Data Analysis on the Business Administration Education Reform in Teaching Style
184;183;Directed;Practitioners understanding of big data and its applications in supply chain management
185;183;Directed;Practitioners understanding of big data and its applications in supply chain management
185;184;Directed;Practitioners understanding of big data and its applications in supply chain management
185;186;Directed;Practitioners understanding of big data and its applications in supply chain management
186;183;Directed;Practitioners understanding of big data and its applications in supply chain management
186;184;Directed;Practitioners understanding of big data and its applications in supply chain management
188;104;Directed;Big Social Data Mining in a Cloud Computing Fnvironment
189;188;Directed;Big Social Data Mining in a Cloud Computing Fnvironment
189;104;Directed;Big Social Data Mining in a Cloud Computing Fnvironment
190;188;Directed;Big Social Data Mining in a Cloud Computing Fnvironment
190;104;Directed;Big Social Data Mining in a Cloud Computing Fnvironment
190;189;Directed;Big Social Data Mining in a Cloud Computing Fnvironment
192;193;Directed;A survey towards an integration of big data analytics to big insights for value-creation
195;194;Directed;A Reference Model for Big Data Analytics
195;196;Directed;A Reference Model for Big Data Analytics
196;194;Directed;A Reference Model for Big Data Analytics
198;197;Directed;Big Data Processing: A Graduate Course for Engineering Students
198;199;Directed;Big Data Processing: A Graduate Course for Engineering Students
199;197;Directed;Big Data Processing: A Graduate Course for Engineering Students
201;200;Directed;Forensic Investigation through Data Remnants on Hadoop Big Data Storage System
201;202;Directed;Forensic Investigation through Data Remnants on Hadoop Big Data Storage System
202;200;Directed;Forensic Investigation through Data Remnants on Hadoop Big Data Storage System
207;205;Directed;The Study of Cognitive Radio Prediction Based on Big Data
207;206;Directed;The Study of Cognitive Radio Prediction Based on Big Data
207;209;Directed;The Study of Cognitive Radio Prediction Based on Big Data
208;205;Directed;The Study of Cognitive Radio Prediction Based on Big Data
208;206;Directed;The Study of Cognitive Radio Prediction Based on Big Data
208;207;Directed;The Study of Cognitive Radio Prediction Based on Big Data
208;209;Directed;The Study of Cognitive Radio Prediction Based on Big Data
212;210;Directed;Big Earth Data: a comprehensive analysis of visualization analytics issues
212;211;Directed;Big Earth Data: a comprehensive analysis of visualization analytics issues
212;214;Directed;Big Earth Data: a comprehensive analysis of visualization analytics issues
213;210;Directed;Big Earth Data: a comprehensive analysis of visualization analytics issues
213;211;Directed;Big Earth Data: a comprehensive analysis of visualization analytics issues
213;212;Directed;Big Earth Data: a comprehensive analysis of visualization analytics issues
213;214;Directed;Big Earth Data: a comprehensive analysis of visualization analytics issues
216;215;Directed;Big Data Methods: Leveraging Modern Data Analytic Techniques to Build Organizational Science
216;217;Directed;Big Data Methods: Leveraging Modern Data Analytic Techniques to Build Organizational Science
217;215;Directed;Big Data Methods: Leveraging Modern Data Analytic Techniques to Build Organizational Science
221;218;Directed;Engineering Big Data to Small Businesses: Lessons Learned from A Case Study
221;219;Directed;Engineering Big Data to Small Businesses: Lessons Learned from A Case Study
