Source;Target;Type;Label
1;0;Directed;Experimental Teaching Design and Practice on Big Data Course
2;0;Directed;Experimental Teaching Design and Practice on Big Data Course
2;1;Directed;Experimental Teaching Design and Practice on Big Data Course
2;3;Directed;Experimental Teaching Design and Practice on Big Data Course
3;0;Directed;Experimental Teaching Design and Practice on Big Data Course
3;1;Directed;Experimental Teaching Design and Practice on Big Data Course
4;7;Directed;Big Data Analytics: A Cognitive Perspectives
5;6;Directed;A Mathematical Foundation of Big Data
9;8;Directed;A Survey of Big Data Security and Privacy Preserving
10;8;Directed;A Survey of Big Data Security and Privacy Preserving
10;9;Directed;A Survey of Big Data Security and Privacy Preserving
10;11;Directed;A Survey of Big Data Security and Privacy Preserving
11;8;Directed;A Survey of Big Data Security and Privacy Preserving
11;9;Directed;A Survey of Big Data Security and Privacy Preserving
12;14;Directed;Big Data Validation Case Study
13;14;Directed;Big Data Validation Case Study
17;15;Directed;Leveraging Frontline Employees' Small Data and Firm-Level Big Data in Frontline Management: An Absorptive Capacity Perspective
17;16;Directed;Leveraging Frontline Employees' Small Data and Firm-Level Big Data in Frontline Management: An Absorptive Capacity Perspective
17;19;Directed;Leveraging Frontline Employees' Small Data and Firm-Level Big Data in Frontline Management: An Absorptive Capacity Perspective
18;15;Directed;Leveraging Frontline Employees' Small Data and Firm-Level Big Data in Frontline Management: An Absorptive Capacity Perspective
18;16;Directed;Leveraging Frontline Employees' Small Data and Firm-Level Big Data in Frontline Management: An Absorptive Capacity Perspective
18;17;Directed;Leveraging Frontline Employees' Small Data and Firm-Level Big Data in Frontline Management: An Absorptive Capacity Perspective
18;19;Directed;Leveraging Frontline Employees' Small Data and Firm-Level Big Data in Frontline Management: An Absorptive Capacity Perspective
21;22;Directed;Big Data - Concepts, Architectures and Technologies
23;24;Directed;Energy Efficient Strategy for Cloud based Big Data
26;25;Directed;Big data application framework and its feasibility analysis in library
27;25;Directed;Big data application framework and its feasibility analysis in library
27;26;Directed;Big data application framework and its feasibility analysis in library
27;28;Directed;Big data application framework and its feasibility analysis in library
28;25;Directed;Big data application framework and its feasibility analysis in library
28;26;Directed;Big data application framework and its feasibility analysis in library
33;29;Directed;Querying Big Data from a Database Perspective
33;30;Directed;Querying Big Data from a Database Perspective
33;31;Directed;Querying Big Data from a Database Perspective
