Id;Label
0;lu, qing
1;hu, dayan
2;wen, weijiang
3;wan, junxiang
4;yang, tingting
5;yu, linlan
6;taamneh, salah
7;al-qawagneh, mona
8;bani-salameh, hani
9;narkhede, balkrishna e.
10;priyadarshinee, pragati
11;cheikhrouhou, naoufel
12;yadav, vinay surendra
13;raut, rakesh d.
14;narwane, vaibhav s.
15;zhang, long
16;yang, mengxi
17;xu, shan
18;zhang, yucheng
19;liu, siqi
20;yang, miles m.
21;liu, guangjian
22;li, jing
23;zhang, meng
24;zhang, jianjun
25;xia, feng
26;jin, aijing
27;aziz, abdul
28;guo, teng
29;li, jinzhou
30;zhang, fuli
31;bai, xiaomei
32;bai, zhongbo
33;wang, kuansan
34;liu, huan
35;giles, c. lee
36;zheng, hao
37;wen, yan
38;leung, carson k.
39;cuzzocrea, alfredo
40;mbacke, m. diarra b.
41;jackson, marshall d.
42;olawoyin, anifat m.
43;fan, lihe
44;chauhan, animesh singh
45;pazdor, adam g. m.
46;harvey, james d.
47;wang, tianlei
48;damiani, ernesto
49;hebert, cedric
50;ceravolo, paolo
51;bezzi, michele
52;bellandi, valerio
53;ardagna, claudio agostino
54;narayan, vinayak
55;nanda, anil
56;hilden, patrick
57;sun, hai
58;gupta, gaurav
59;ashraf, omar
60;jumah, fareed
61;raju, bharath
62;hoyo-montano, jose a.
63;nieto-jalil, jose m.
64;pacheco-ramirez, jesus h.
65;rodriguez-elias, oscar m.
66;hinojosa-palafox, eduardo a.
67;serrano, manuel a.
68;fernandez-medina, eduardo
69;santos-olmo, antonio
70;sanchez, luis e.
71;moreno, julio
72;rosado, david g.
73;gandomi, amir
74;haider, murtaza
75;li, ling
76;wang, shouyang
77;wu, jun
78;du, hongchuan
79;li, jieyi
80;tang, ling
81;bhardwaj, dave
82;ormandjieva, olga
83;cornelli, giulio
84;tissot, bruno
85;gambacorta, leonardo
86;doerr, sebastian
87;jamous, naoum
88;turowski, klaus
89;bosse, sascha
90;abdallah, mohammad
91;hausler, robert
92;nahhas, abdulrahman
93;pohl, matthias
94;saxena, akanksha
95;volk, matthias
96;staegemann, daniel
97;shakir, aamir
98;kanaani, fatemeh
99;shahbazi, meysam
100;moin, mohammad shahram
101;turkina, ekaterina
102;bahrami, farideh
103;hildre, hans petter
104;zhang, houxiang
105;li, guoyuan
106;major, pierre
107;du, xiaoping
108;hu, zhongyang
109;zhu, junjie
110;kang, xujie
