Id;Label
0;chu, lei
1;ling, zenan
2;ai, qian
3;qiu, robert caiming
4;he, xing
5;jiang, xiuchen
6;sheng, gehao
7;yan, yingjie
8;ishizu, kentaro
9;kojima, fumihide
10;zhao, ou
11;villardi, gabriel porto
12;kien nguyen
13;kibria, mirza golam
14;dekker, andre
15;dumontier, michel
16;towend, david
17;van oppen, claudia
18;malic, alexander
19;van den berg, bob
20;puts, marco
21;mussmann, ole
22;sun, chang
23;van soest, johan
24;wee, leonard
25;traverso, alberto
26;ao, cong
27;teng, xue-ming
28;zhang, tian-fu
29;tang, chao
30;cheng, yin-hang
31;yu, reng-an
32;sima, xian-zhang
33;miao, pei-sen
34;jin, ruo-shi
35;javed, m. haseeb
36;panda, dhabaleswar k.
37;biswas, rajarshi
38;shi, haiyang
39;lu, xiaoyi
40;panda, dhabaleswar k. (dk)
41;shankar, dipti
42;subramoni, hari
43;mohamadian, ayoub
44;arianyan, ehsan
45;karami, mitra
46;ameli, s. pouria
47;mozaffari, fatemeh
48;farzaneh, mandana
49;han, yanbo
50;li, xiaohong
51;liu, chen
52;huang, tingwen
53;yu, xinghuo
54;deng, ke
55;li, chaojie
56;zhang, shouli
57;gao, hui
58;geng, shaofeng
59;wang, yongheng
60;wang, zengwang
61;zhang, xiaozan
62;ishikawa, edison
63;chhetri, sammohan
64;oliveira, edgard costa
65;de holanda, maristela terto
66;victorino, marcio
67;yu, xianping
68;zhang, le
69;chen, shanxiong
70;pu, xun
71;zhang, fa
72;zhou, shuigeng
73;guo, junshi
74;luo, yifeng
75;gupta, rohit
76;mukherjee, tridib
77;eswaran, sharanya
78;sinha, manjira
79;narayanan, krishnaprasad
80;agarwal, sakshi
81;jung, d. -h.
82;park, h. -j.
83;kim, s.
84;lee, h. -s.
85;cha, j. -h.
86;el-gorashi, taisir e. h.
87;elmirghani, jaafar m. h.
88;lawey, ahmed q.
89;al-salim, ali m.
90;hadi, mohammed s.
91;mikut, ralf
92;hagenmeyer, veit
93;duepmeier, clemens
94;peter, nico
95;renkamp, nicolas
96;waczowicz, simon
97;braun, eric
98;ludwig, nicole
99;bartschat, andreas
100;ordiano, jorge angel gonzalez
101;drewniak, marek
102;wrobel, lukasz
103;sikora, marek
104;henzel, joanna
105;kurpanik, jaroslaw
106;anwar, s. reyneta carissa
107;saladdin, ibad rahadian
108;putri, annissa fildzah rafi
109;saraswati, anindhita dwi
110;purbarani, sumarsih condroayu
111;wibisono, ari
112;krisnadhi, adila alfa
113;al-ash, herley shaori
114;krisnadhi, adila
115;adiyoso, widiarto
116;theodoridis, y.
117;jousselme, a. -l.
118;camossi, e.
119;ray, c.
120;claramunt, c.
121;andrienko, n.
122;andrienko, g.
123;mock, m.
124;fuchs, g.
125;artikis, a.
126;alevizos, e.
127;patroumpas, k.
128;georgiou, h.
129;pelekis, n.
130;doulkeridis, c.
131;santipantakis, g.
132;vlachou, a.
133;vouros, g. a.
134;rodriguez lelis, jose maria
135;martinez rebollar, alicia
136;saenz sanchez, socorro
137;pazos r, rodolfo a.
138;ruiz-vanoye, jorge a.
139;almanza ortega, nelva nely
140;perez ortega, joaquin
141;aydin, muhammed ali
142;turgut, zeynep
143;ustebay, serpil
144;sertbas, ahmet
145;zaim, abdul halim
146;eyupoglu, can
147;kim, yong-ha
148;chung, kyu jin
149;kim, tae-gon
150;lee, jun-ho
151;kim, jae-won
152;rilee, michael l.
153;yu, hongfeng
154;wang, jin
155;liu, tiegen
156;liu, xinggang
157;jiang, junfeng
158;zhu, wanshan
159;he, q. peter
160;zhu, feiyu
161;pan, yu
162;kuo, kwo-sen
163;chan, k. c.
164;zhou, enxing
165;wu, zhangguang
166;gururajan, raj
167;zhou, xujuan
168;zheng, fang
169;zhou, xiong
170;martini, mariano
171;behzadifar, masoud
172;hussein, amr
173;nasr, ahmed
174;rosselli, roberto
175;watad, abdulla
176;amital, howard
177;adawi, mohammad
178;brigo, francesco
179;nucci, daniele
180;gianfredi, vincenza
181;sharif, kassem
182;bragazzi, nicola luigi
183;mahroum, naim
184;villarini, milena
185;koehn, cheryl l.
186;li, linda
187;stordy, allan
188;english, kelly
189;hamilton, clayon
190;mccormick, natalie
191;wang haocong
192;mcgrath, sean
193;o'connell, eoin
194;wang han
195;jiang ruili
196;bedue, patrick
197;zicari, roberto, v
198;ghazal, ahmad
199;ivanov, todor
200;taaffe, jason
201;singhal, rekha
202;kumar, praveen
203;phalak, chetan
204;rawat, seema
205;alam, irshad
206;pant, pooja
207;johari, m.
208;udd, b.
209;hackman, p.
210;nigro, v.
211;straub, v.
212;schoser, b.
213;santorelli, f.
214;fattori, f.
215;kuhn, m.
216;rubegni, a.
217;arumilli, m.
218;evila, a.
219;topf, a.
220;torella, a.
221;johnson, k.
222;savarese, m.
223;sun, hemeng
224;tao, fei
225;sui, fangyuan
226;zhang, he
227;zhang, meng
228;qi, qinglin
229;cheng, jiangfeng
230;kusiak, andrew
231;liu, ang
232;zhang, yongping
233;mi, zhifu
234;chen, ken
235;cheng, ying
236;tanney, austin
237;rankin, deborah
238;mulvenna, maurice
239;black, michaela
240;bond, raymond
241;wallace, jonathan
242;cleland, brian
243;xu, lei
244;shi, weidong
245;suh, taeweon
246;kim, minsu
247;kim, han-yee
248;hong, boeui
249;ul hassan, syed zain
250;shoaib, nausheen
251;bawany, narmeen
252;shamsi, jawwad a.
253;khojaye, muhammad ali
254;chahine, saad
255;touchie, claire
256;de champlain, andre
257;yen, wendy
258;mcconnell, meghan
259;sebok-syer, stefanie s.
260;barber, cassandra
261;grierson, lawrence e. m.
262;monteiro, sandra
263;wright, sarah
264;kulasegaram, kulamakan (mahan)
265;long, jieyi
266;du, bowen
267;wang, zhaoyi
268;wang, haiquan
269;yang, jingyue
270;lehmann, christoph
271;nagel, wolfgang e.
